Title,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Love Like the Galaxy: Part 2 (2022),"After a series of twists and turns, Cheng Shao Shang and Ling Bu Yi are engaged to be married by Imperial consent and decree. However, they still have many hurdles to overcome. Cheng Shao Shang, having been neglected and abandoned from a young age, has to learn to be a proper lady worthy of someone with Ling Bu Yi's status and is put under the tutelage of the Empress. Also, as someone who has her own mind and who prizes her personal freedom, being tied to Ling Bu Yi presents its own set of challenges.

Ling Bu Yi, too, has personal challenges of his own. His mission to uncover the culprits behind the massacre of his entire clan and to exact vengeance is far from over, and he, himself, harbours some deep secrets of his own. Can he and Cheng Shao Shang overcome these trials and forge a union that shines even in the brightest of galaxies?

",Fei Zhen Xiang,"Leo Wu, Role: Ling Bu Yi / Zi Sheng
Zhao Lu Si, Role: Cheng Shao Shang / Niao Niao
Bao Jian Feng, Role: Emperor Wen
Tong Lei, Role: Xuan Shen An [Empress]
Cao Xi Wen, Role: Consort Yue Fei [Mother of Second Princess, Third Prince & Third Princess]
Gao Han, Role: [Third Prince]","Historical
 Mystery
 Romance
 Political",9.0,14593,https://mydramalist.com//729363-love-like-the-galaxy-part-2
Under the Queen's Umbrella (2022),"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride and is even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.

",Park Ba Ra,"Kim Hye Soo, Role: Queen Im Hwa Ryung
Kim Hae Sook, Role: Queen Dowager Cho
Choi Won Young, Role: King Lee Ho
Kim Eui Sung, Role: Hwang Won Hyung
Moon Sang Min, Role: Grand Prince Sung Nam
Ok Ja Yeon, Role: Royal Consort Hwang","Historical
 Comedy
 Drama
 Political",9.0,13007,https://mydramalist.com//705857-umbrella
Reply 1988 (2015),"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? 

",Shin Won Ho,"Lee Hye Ri, Role: Sung Deok Sun / Sung Soo Yeon
Go Kyung Pyo, Role: Sung Sun Woo
Ryu Joon Yeol, Role: Kim Jung Hwan
Park Bo Gum, Role: Choi Taek
Lee Dong Hwi, Role: Ryu Dong Ryong
Sung Dong Il, Role: Sung Dong Il [Deok Sun's father]","Comedy
 Romance
 Life
 Youth",9.1,44102,https://mydramalist.com//13544-reply-1988
Alchemy of Souls (2022),"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.

It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.

",Hong Jung Eun,"Lee Jae Wook, Role: Jang Uk
Jung So Min, Role: Mu Deok
Hwang Min Hyun, Role: Seo Yul
Shin Seung Ho, Role: Go Won
Yoo  Joon Sang, Role: Park Jin
Oh Na Ra, Role: Kim Do Ju","Action
 Historical
 Romance
 Fantasy",9.1,47366,https://mydramalist.com//52939-can-this-person-be-translated
Nirvana in Fire (2015),"In sixth-century China, the Emperor of Great Liang orders the unjust execution of his brother-in-law Marshal Lin Xie alongside the Lin family, his 70,000 army soldiers, and Crown Prince Qi. Secretly surviving the massacre is Lin Xie's son, Lin Shu, who undergoes medical treatment that changes his appearance entirely and leaves him in a weakened state, unable to ever perform martial arts again. Lin Shu changed his name to Mei Chang Su and later became the chief of the pugilist world and established the Jiangzuo Alliance.

Twelve years later, Mei Chang Su returns to the capital with a secret plan after being sought after by Prince Yu and Prince Xian during their fight for the throne. He decides to covertly assist Prince Jing, the unfavoured son of the Emperor, and wisely rids the court of all scheming officials.

",Kong Sheng,"Hu Ge, Role: Mei Chang Su
Liu Tao, Role: Mu Ni Huang
Wang Kai, Role: Xiao Jing Yan
Chen Long, Role: General Meng Zhi
Victor Huang, Role: Xiao Jing Huan / Prince Yu
Ding Yong Dai, Role: Emperor Xiao Xuan","Military
 Historical
 Drama
 Political",9.1,9446,https://mydramalist.com//9025-nirvana-in-fire
Hospital Playlist (2020),"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.

",Shin Won Ho,"Jo Jung Suk, Role: Lee Ik Jun
Yoo Yeon Seok, Role: Ahn Jung Won
Jung Kyung Ho, Role: Kim Jun Wan
Kim Dae Myung, Role: Yang Suk Hyung
Jeon Mi Do, Role: Chae Song Hwa
Shin Hyun Been, Role: Jang Gyeo Wool","Romance
 Life
 Drama
 Medical",9.1,43594,https://mydramalist.com//36269-doctor-playbook
Reset (2022),"An unexplainable phenomena finds college-going student, Li Shi Qing, trapped in a never-ending time loop where she is always stuck on a public service bus which is due to explode, bringing death & destruction to not only herself but to all on board. 

Desperate to find a way to escape not only the time loop but her tragic fate, Shi Qing inadvertently drags fellow bus passenger Xiao He Yun into the time loop as well. Together they try to find a way to alter their fate by ensuring the bus arrives safely at its destination, but attempting to do so proves anything but easy.

",Sun Mo Long,"Bai Jing Ting, Role: Xiao He Yun
Zhao Jin Mai, Role: Li Shi Qing
Liu Yi Jun, Role: Zhang Cheng
Liu Tao, Role: Du Ju / Du Jin Song
Huang Jue, Role: Wang Xing De
Liu Dan, Role: Tao Ying Hong ","Thriller
 Mystery
 Sci-Fi",9.1,14565,https://mydramalist.com//697563-kai-duan
Joy of Life (2019),"Fan Xian is born in the ancient empire of Southern Qing with memories of the 21st century. He lives in a rural town as the illegitimate son of the Minister of Finance, raised by his grandmother. His mother, Ye Qing Mei, was once a celebrated inventor and the founder of the Overwatch Department, the country's spy network but was killed shortly after her son was born. Fan Xian has since been protected by a blind martial arts expert, Wu Zhu, his mother's bodyguard. He learned martial arts and the art of poison as a child, also assisted by his knowledge from the 21st century. 

After an assassination attempt, he decides to venture into the capital to find out more about his mysterious mother and why anyone would want to kill him, as he perceives himself to be an unimportant person. He also wants to know why he has memories of a sharply different era. In the capital, he accidentally meets Lin Wan Er, the sickly illegitimate daughter of Princess Royal, and falls in love with her. Unbeknownst to him, she is the woman the emperor chose for him to marry so that he would be the new overseer of the Royal Treasury, an institute Fan Xian's mother established in the palace and currently handled by Princess Royal. 

In the capital, however, he gets entangled in the intrigues of the Emperor and the two Princes, as well as the Overwatch Department, leading to him questioning his whole identity and inducing him to find his true life goals, abandoning his original intention to just ""enjoy life"".

",Sun Hao,"Zhang Ruo Yun, Role: Fan Xian
Li Qin, Role: Lin Wan Er
Chen Dao Ming, Role: Emperor of Qing
Wu Gang, Role: Chen Ping Ping / Director Chen
Cui Zhi Gang, Role: Eunuch Hou [Emperor's attendant]
Yu Yang, Role: Lin Ru Fu [Prime Minister/ Wan’er's father]","Mystery
 Romance
 Wuxia
 Fantasy",9.0,8656,https://mydramalist.com//28674-joy-of-life
Hidden Love (2023),"Sang Zhi falls in love with Duan Jia Xu, the boy who often comes to her house to play games in her older brother's room. He is five years older than her. Sang Zhi had a crush on Duan Jia Xu when she was young, but they lost contact with each other for some reason. After she graduates, she joins the university in the city he is in, and during their day-to-day intimate and close interaction, they slowly fall in love. 

",Lee Ching Jung,"Zhao Lu Si, Role: Sang Zhi
Chen Zhe Yuan, Role: Duan Jia Xu
Victor Ma, Role: Sang Yan
Zeng Li, Role: Li Ping [Sang Zhi's mother]
Qiu Xin Zhi, Role: Sang Rong [Sang Zhi's father]
Guan Zi Jing, Role: Li Xun","Comedy
 Romance
 Life
 Youth",9.0,31430,https://mydramalist.com//729705-hidden-love
My Mister (2018),"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hoon's company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers' struggle to get back on their feet and the company's internal rivalry between the company's CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him.

",Kim Won Suk,"Lee Sun Kyun, Role: Park Dong Hoon
IU, Role: Lee Ji Ahn
Park Ho San, Role: Park Sang Hoon
Song Sae Byuk, Role: Park Gi Hoon
Lee Ji Ah, Role: Kang Yoon Hee
Kim Young Min, Role: Do Joon Young","Psychological
 Life
 Drama",9.0,26852,https://mydramalist.com//25172-my-ajusshi
Rurouni Kenshin: The Legend Ends (2014),"Shishio has set sail in his ironclad ship to bring down the Meiji government and return Japan to chaos, carrying Kaoru with him. In order to stop him in time, Kenshin trains with his old master to learn his final technique. 

~~ Adapted from the manga ""Rurouni Kenshin"" by Watsuki Nobuhiro. Edit Translation English Arabic Ελληνικά Polski",Otomo Keishi,"Satoh Takeru, Role: Himura Kenshin
Takei Emi, Role: Kamiya Kaoru
Fujiwara Tatsuya, Role: Shishio Makoto
Aoki Munetaka, Role: Sagara Sanosuke
Aoi Yu, Role: Takani Megumi
Eguchi Yosuke, Role: Saito Hajime","Action
 Adventure
 Historical
 Drama",8.8,8224,https://mydramalist.com//7436-rurouni-kenshin-the-legend-ends
Miracle in Cell No. 7 (2013),"Lee Yong Gu is a mentally impaired father, who lives in a run-down house along with his daughter of the same age, Ye Seung. One day, he gets into a physical altercation with the police commissioner, who has just purchased the last Sailor Moon backpack for his daughter, a gift Yong Gu was saving up to buy for Ye Seung. Soon after, the police commissioner's daughter dies in a freak accident while she is taking Yong Gu to another store that sells the same backpack. When he tries to resuscitate her, a woman witnesses him and mistakes him to be molesting her. Yong Gu is falsely accused of the abduction, murder, and rape of a minor. The police quickly take advantage of his disability and force him to admit to committing the crimes, while ignoring exonerating evidence. Yong Gu is imprisoned and assigned to Cell No. 7, the harshest cell in a maximum security prison.

",Yoo Young Ah,"Ryu Seung Ryong, Role: Lee Yong Gu
Gal So Won, Role: Lee Ye Seung
Oh Dal Soo, Role: So Yang Ho
Park Won Sang, Role: Choi Chun Ho
Kim Jeong Tae, Role: Gang Man Beom
Jung Man Shik, Role: Shin Bong Shik","Comedy
 Drama",9.1,22647,https://mydramalist.com//4517-miracle-in-cell-no.-7
The Man from Nowhere (2010),"Cha Tae Shik leads a quiet life running a pawnshop. His only friend is a little girl, So Mi, who lives next door. So Mi's mother, Hyo Jeong, is a heroin addict. One day, Hyo Jeong decided to steals drugs from a feared organized crime group. Crime lord Oh Myung Gyu sent his subordinates, brothers Man Seok and Jong Seok to retrieve the drugs from Hyo Jeong. They then kidnap her and So Mi. Tae Shik sets off to rescue them. Edit Translation English Русский Deutsch Español",Lee Jung Beom,"Won Bin, Role: Cha Tae Shik
Kim Sae Ron, Role: Jung So Mi
Kim Hee Won, Role: Man Seok
Kim Tae Hoon, Role: Kim Chi Gon
Kim Sung Oh, Role: Jong Suk
Lee Jong Pil, Role: No Myung Soo","Action
 Thriller
 Crime
 Drama",8.8,15536,https://mydramalist.com//462-the-man-from-nowhere
Rurouni Kenshin: Kyoto Inferno (2014),"The ""Kyoto Version"" takes place several months after Kenshin joins the Kamiya Dojo. Shishio Makoto plans to conquer Japan by destroying the Meiji Government, starting with Kyoto. Feeling that his friends may be attacked, Kenshin goes to meet Shishio alone in order to defeat him. However, many of his friends, including a young Oniwabanshuu named Makimachi Misao, decide to help him in his fight.

~~ Adapted from the manga series ""Rurouni Kenshin"" by Watsuki Nobuhiro. Edit Translation English Arabic Ελληνικά Čeština",Otomo Keishi,"Satoh Takeru, Role: Himura Kenshin
Takei Emi, Role: Kamiya Kaoru
Fujiwara Tatsuya, Role: Shishio Makoto
Aoki Munetaka, Role: Sagara Sanosuke
Aoi Yu, Role: Takani Megumi
Eguchi Yosuke, Role: Saito Hajime","Action
 Adventure
 Historical
 Drama",8.7,9034,https://mydramalist.com//7435-rurouni-kenshin-kyoto-inferno
Silenced (2011),"Gang In Ho is the newly appointed art teacher at Gwangju Inhwa School, a school for deaf children. He is excited to teach his new students, yet the children are aloof and distant, trying to avoid running into him as much as possible. When the children finally open up, In Ho faces the shocking and ugly truth about the school and what the students have been enduring in secret.

",Mystery,"Gong Yoo, Role: Kang In Ho
Jung Yu Mi, Role: Seo Yoo Jin
Kim Hyun Soo, Role: Yun Doo
Jung In Seo, Role: Yoo Ri
Baek Seung Hwan, Role: Min Soo
Jang Gwang, Role: Lee Kang Suk [Headmaster] | Lee Kang Bok [Janitor]","Mystery
 Psychological
 Drama",8.8,15626,https://mydramalist.com//2107-the-crucible
Your Eyes Tell (2020),"Kaori lost her eyesight and family in an accident. While trying to enjoy the small things in her life, Kaori struggles to live happily. Kaori mistakes Rui for someone else and begins to talk to him. Rui was once a promising kickboxer, but something happened in his past to cause him to disassociate himself from everyone. Kaori's smile brings out a change in Rui. The two people begin to have feelings for each other, but Rui learns about Kaori's past accident and his connection. Rui decides to take part in an underground fight to pay for Kaori's eye surgery.

",Miki Takahiro,"Yokohama Ryusei, Role: Shinozaki Rui / Antonio
Yoshitaka Yuriko, Role: Mei Kaori
Yabe Kyosuke, Role: Harada Jin [Rui's coach]
Tayama Ryosei, Role: Ouchi [Chairman at Rui's boxing gym]
Machida Keita, Role: Sakuma Kyosuke [Rui's ex-boss]
Okuno Eita, Role: Kuji Mitsuru [Kyosuke's subordinate]","Romance
 Life
 Drama
 Melodrama",8.7,6973,https://mydramalist.com//46321-kimi-no-me-ga-toikakete-iru
Hachiko Monogatari (1987),"A puppy was born in Akita Prefecture and sent as a gift to Professor Ueno of Tokyo University. Although professor's wife does not want keep the dog. Professor Ueno loves the puppy so much and names it Hachi. Professor goes to work by railways everyday. Hachi walks to Shibuya Station with Professor each morning and greets him in the evening, no matter what the weather is. One day, Professor Ueno has a stroke and passed away. His family sold the house and moved to another city, but Hachi keeps visiting the house and waiting at the Shibuya station, believing his master will return. Based on a true story of Hidesaburo Ueno and his Akita breed dog ""Hachiko."" Edit Translation English Русский Español Français",Shindo Kaneto,"Nakadai Tatsuya, Role: Ueno Shujiro
Yachigusa Kaoru, Role: Ueno Shizuko
Omi Toshinori, Role: Ogata Saikichi
Yanagiba Toshiro, Role: Moriyama
Ishino Mako, Role: Ueno Chizuko
Harukawa Masumi, Role: Okichi","Life
 Drama",8.8,2076,https://mydramalist.com//2491-hachiko-monogatari
Better Days (2019),"The film revolves around a girl who is being bullied at school and her relationship with a tough street kid, with whom she is implicated in the murder of a teenage girl.

",Lam WIng Sam,"Zhou Dong Yu, Role: Chen Nian
Jackson Yee, Role: Liu Bei Shan
Yin Fang, Role: Zheng Yi [Detective]
Huang Jue, Role: Lao Yang [Detective]
Wu Yue, Role: [Chen Nian's mother]
Zhou Ye, Role: Wei Lai [Chen Nian's classmate]","Psychological
 Romance
 Youth
 Drama",9.2,13100,https://mydramalist.com//30499-the-youthful-you-who-was-so-beautiful
Monster (2023),"A large lake in a suburban town. A single mother who loves her son, a teacher who cares about her students, and innocence in its prime… Although it seemed like a typical fight amongst children, townsfolk and media become swept into an unfolding drama when conflicting statements are made.

Then, the children disappear…

",Koreeda Hirokazu,"Ando Sakura, Role: Mugino Saori
Nagayama Eita, Role: Hori Michitoshi
Kurokawa Souya, Role: Mugino Minato
Hiiragi Hinata, Role: Hoshikawa Yori
Takahata Mitsuki, Role: Suzumura Hirona
Kakuta Akihiro, Role: Shoda Fumiaki","Thriller
 Drama
 Family",8.8,779,https://mydramalist.com//743747-kaibutsu
Our Times (2015),"Lin Zhen Xin is an ordinary office worker who gets ridiculed by her subordinates. Dejected, she listens to a cassette recording of an old Andy Lau song. This brings her back to her high school days, where she was an ordinary high school girl. She has a crush on Ouyang Fei Fan, the school's most popular male student. 

One day, Zhen Xin receives a chain letter, warning her of impending doom if she does not pass the message on. Naively, she passes it on to Hsu Tai Yu, the school's notorious gangster boss, her maths teacher, and Tao Min Min, the school's most popular girl. While Tai Yu was reading the letter, he gets injured in a car accident. After weeding out the letter's sender, the angry Tai Yu makes Zhen Xin his 'friend' and forces her to run errands for him in exchange for leaving Fei Fan alone, thus making her his errand-girl.

",Comedy,"Vivian Sung, Role: Lin Zhen Xin / ""Truly""
Darren Wang, Role: Tsu Tai Yu
Dino Lee, Role: Ouyang Fei Fan
Dewi Chien, Role: Tao Min Min
Jack Na, Role: Wang Bai Dan
Bernice Tsai, Role: He Mei / Mei Mei","Comedy
 Romance
 Youth
 Drama",8.7,13266,https://mydramalist.com//15091-our-times
Hope (2013),"On the way to school, a girl named So Won (which literally means ""desire"" or ""hope"" in Korean) is sexually assaulted by a drunk male stranger. As a result, she suffers from multiple internal injuries and must undergo major surgery, but her emotional wounds are equally difficult to heal. Their happy family fell apart, her parents Dong Hoon and Mi Hee have feelings of pain and anger. Since that day's trauma, So Won refuses to see or speak to her father, so Dong Hoon hides under the costume of his daughter's favorite cartoon character and becomes a ""guardian angel"" by her side.

~~ Inspired by the real events of the ""Cho Doo Soon"" case that happened in December 2008. Edit Translation English Русский Ελληνικά Español",Kim Ji Hye,"Sol Kyung Gu, Role: Im Dong Hoon
Uhm Ji Won, Role: Kim Mi Hee
Lee Re, Role: Im So Won
Kim Hae Sook, Role: Song Jung Sook
Kim  Sang Ho, Role: Han Kwang Shik [Dong Hoon's best friend]
Ra Mi Ran, Role: [Young Suk's mother and Kwang Shik's wife]","Psychological
 Life
 Drama",9.1,9377,https://mydramalist.com//7431-hope
