Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Train to Busan (2016),South Korea,"Seok Woo, his estranged daughter Soo An, and other passengers become trapped on a KTX train (high-speed train) heading from Seoul to Busan during a disastrous virus outbreak in South Korea.
",Yeon Sang Ho,"Gong Yoo, Role: Seok Woo
Jung Yu Mi, Role: Sung Kyung
Ma Dong Seok, Role: Sang Hwa
Kim Soo An, Role: Seo Soo Ahn
Kim Eui Sung, Role: Yong Suk
Choi  Woo Shik, Role: Min Young Guk","Action
 Thriller
 Horror",8.9,78054,https://mydramalist.com//11314-train-to-busan
Silenced (2011),South Korea,"Gang In Ho is the newly appointed art teacher at Gwangju Inhwa School, a school for deaf children. He is excited to teach his new students, yet the children are aloof and distant, trying to avoid running into him as much as possible. When the children finally open up, In Ho faces the shocking and ugly truth about the school and what the students have been enduring in secret.

",Mystery,"Gong Yoo, Role: Kang In Ho
Jung Yu Mi, Role: Seo Yoo Jin
Kim Hyun Soo, Role: Yun Doo
Jung In Seo, Role: Yoo Ri
Baek Seung Hwan, Role: Min Soo
Jang Gwang, Role: Lee Kang Suk [Headmaster] | Lee Kang Bok [Janitor]","Mystery
 Psychological
 Drama",8.8,15676,https://mydramalist.com//2107-the-crucible
Always (2011),South Korea,"Having closed himself away from the world, former boxer Chul Min starts a new job as a parking lot attendant. One night, a visually impaired young woman, Jung Hwa, walks into his tollbooth to watch television with him. Jung Hwa's bright spirit and smile in the face of adversity reach through to Chul Min's heart and shine a ray of hope into both their lives, but their love and happiness may be short-lived. Edit Translation English 中文(台灣) Русский Português (Brasil)",Yoo Young Ah,"So Ji Sub, Role: Jang Chul Min
Han Hyo Joo, Role: Ha Jung Hwa
Kang Shin Il, Role: Choi [Boxing gym manager]
Park Chul Min, Role: Coach Bang
Yoon Jong Hwa, Role: Min Tae Shik
Oh  Gwang Rok , Role: Park Chang Soo","Romance
 Life
 Melodrama",8.6,18097,https://mydramalist.com//1814-always
A Werewolf Boy (2012),South Korea,"Summoned by an unexpected phone call, an elderly woman visits a cottage she used to live in as a child. She begins to recall her memories of a boy she knew 50 years ago.

The young Suni and her family move to a small rural village in Korea. There, they encounter a strange ‘wolf boy’ hiding under a bush and take him in out of pity. Bothered by his wild eyes and feral behavior, Suni teaches the boy to wait patiently before a meal, put on clothes, and read and write the alphabet so that he can one day live like other human beings...

",Romance,"Song Joong Ki, Role: Cheol Su
Park Bo Young, Role: Kim Sun Yi [Teen] | Eun Joo
Lee Young Ran, Role: Kim Sun Yi [Present]
Jang Young Nam, Role: Yu Ok Hui [Sun Yi's mother]
Yoo Yeon Seok, Role: Seok Ji Tae [Sun Yi's father's business partner's son]
Kim Hyang Gi , Role: Kim Sun Ja [Sun Yi's sister]","Romance
 Drama
 Supernatural",8.6,32586,https://mydramalist.com//4234-a-werewolf-boy
The Witch: Part 1. The Subversion (2018),South Korea,"10 years ago, Ja Yoon escaped from a government facility in the midst of an inexplicable incident by herself and lost all her memory. An old couple takes her in even though she doesn’t know her name or age. She grows up to be a bright high school student and enters a nationally televised audition program to win the top prize and help her struggling family out. As soon as she appears on TV, strange people start appearing in her life. A man named ‘Nobleman’ constantly roams around her, in addition to ‘Dr. Baek’ and ‘Mr. Choi’ who have been searching for her since her disappearance. Ja Yoon’s life falls into turmoil as they turn her seemingly ordinary life upside down in a blink of an eye.

",Park Hoon Jung,"Kim Da Mi, Role: Ko Ja Yun
Jo Min Soo, Role: Dr. Baek
Park Hee Soon , Role: Mr. Choi
Choi  Woo Shik, Role: Gui Gong Ja / “Nobleman”
Go Min Si, Role: Do Myung Hee [Ja Yun's best friend]
Choi Jung Woo, Role: Teacher Goo [Ja Yun's father]","Action
 Thriller
 Mystery
 Sci-Fi",8.6,20179,https://mydramalist.com//29367-the-witch
Tune in for Love (2019),South Korea,"In 1994, on the first day that Yoo Yeol went on air as the new DJ of the popular radio show ‘Music Album', a college girl Mi Soo meets Hyun Woo who happens to drop by the bakery she works at. Like the music streaming from the radio, their frequencies slowly come in sync; even when they're apart, the show brings them together through ebbs and flows of events arising from both pure coincidence and inevitability, until the bitter reality drives them apart.

In 1997, during the IMF crisis, two people meet while exchanging stories on a radio program. They fall in love, but can't quite seem to get the timing right.

The film is a romantic melodrama that will tell the love story of the optimistic Hyun Woo and the hard-working Mi Soo,  who end up meeting by chance. Although the young couple’s paths keep crossing, the timing never appears to be in their favor.

",Lee Sook Yun,"Jung Hae In, Role: Hyun Woo
Kim Go Eun, Role: Mi Soo 
Park Hae Joon, Role: Jong Woo
Kim Gook Hee, Role: Eun Ja
Jung Eugene, Role: Hyun Joo
Choi Jun Young, Role: Tae Sung","Romance
 Life
 Drama
 Melodrama",8.1,20871,https://mydramalist.com//30942-joyful-music-album
200 Pounds Beauty (2006),South Korea,"Hanna is a lip sync vocalist for the famous Korean pop singer, Ami. Even though everyone ignores her because of her appearance, Hanna is a bright and lighthearted girl. Until one day when Ami humiliates her in front of her crush, Sang Jun. Spurred on by this incident, she makes the life-altering decision to undergo plastic surgery to her entire body.

 ~~ Adapted from the manga ""Kanna's Big Success!"" (カンナさん大成功です!) by Suzuki Yumiko (鈴木 由美子). Edit Translation English 한국어 Русский Türkçe",Noh Hye Young,"Joo Jin Mo, Role: Han Sang Jun
Kim Ah Joong, Role: Jenny / Kang Han Na
Sung Dong Il, Role: President Choe [Record company executive]
Kim Hyun Sook, Role: Park Jeong Min [Han Na's best friend]
Im Hyun Shik, Role: [Han Na's father]
Lee  Han Wi, Role: Lee Gong Hak [Plastic surgeon]","Music
 Comedy
 Romance",7.5,25818,https://mydramalist.com//758-200-pounds-beauty
Forgotten (2017),South Korea,"After moving into a new house, the eldest son of the family, Yoo Seok, is abducted right in front of his younger brother, Jin Seok. After 19 days, Yoo Seok suddenly comes back, however, he starts acting like a different person. Suspicious of his brother, Jin Seok sets out to reveal the hidden truth behind the abduction and what happened to Yoo Seok during the 19 days.
",Thriller,"Kang Ha Neul, Role: Jin Seok
Kim Mu Yeol, Role: Yoo Seok
Na Young Hee, Role: [Mother]
Moon Sung Geun, Role: Park Seong Dae [Father]
Jung Taek Hyun, Role: Yoo Seok [Teen]
Lee Sung Woo, Role: [Detective 1]","Thriller
 Mystery
 Psychological
 Drama",8.5,20110,https://mydramalist.com//22899-night-of-memory
Better Days (2019),China,"The film revolves around a girl who is being bullied at school and her relationship with a tough street kid, with whom she is implicated in the murder of a teenage girl.

",Lam WIng Sam,"Zhou Dong Yu, Role: Chen Nian
Jackson Yee, Role: Liu Bei Shan
Yin Fang, Role: Zheng Yi [Detective]
Huang Jue, Role: Lao Yang [Detective]
Wu Yue, Role: [Chen Nian's mother]
Zhou Ye, Role: Wei Lai [Chen Nian's classmate]","Psychological
 Romance
 Youth
 Drama",9.2,13171,https://mydramalist.com//30499-the-youthful-you-who-was-so-beautiful
Secretly Greatly (2013),South Korea,"A group of spies called the 5446 Corps were trained by North Korean elite special forces since their youth, ostensibly towards the lofty goal of unifying Korea. They are ambitiously dispatched to South Korea, where each disguises himself as a fool, an aspiring singer, and a high school student. Passing boring time without receiving any orders from the North, they gradually get used to life as ordinary neighbors in a small town until one day, their mundane lives are turned upside down when a ""secret and great"" mission is suddenly assigned to them.

~~ Adapted from the webtoon of the same name. Edit Translation English 中文(简体) Arabic Русский",Jang Cheol Soo,"Kim Soo Hyun, Role: Won Ryu Hwan / Bang Dong Gu
Lee Hyun Woo, Role: Lee Hae Jin
Park Ki Woong, Role: Lee Hae Rang / Kim Min Su
Park Hye Sook, Role: Jun Son Rim
Uhm Tae Goo, Role: Hwang Jae Oh
Lee Chae Young, Role: Ran","Action
 Comedy
 Crime
 Drama",8.3,16297,https://mydramalist.com//5947-secretly-greatly
Our Times (2015),Taiwan,"Lin Zhen Xin is an ordinary office worker who gets ridiculed by her subordinates. Dejected, she listens to a cassette recording of an old Andy Lau song. This brings her back to her high school days, where she was an ordinary high school girl. She has a crush on Ouyang Fei Fan, the school's most popular male student. 

One day, Zhen Xin receives a chain letter, warning her of impending doom if she does not pass the message on. Naively, she passes it on to Hsu Tai Yu, the school's notorious gangster boss, her maths teacher, and Tao Min Min, the school's most popular girl. While Tai Yu was reading the letter, he gets injured in a car accident. After weeding out the letter's sender, the angry Tai Yu makes Zhen Xin his 'friend' and forces her to run errands for him in exchange for leaving Fei Fan alone, thus making her his errand-girl.

",Comedy,"Vivian Sung, Role: Lin Zhen Xin / ""Truly""
Darren Wang, Role: Tsu Tai Yu
Dino Lee, Role: Ouyang Fei Fan
Dewi Chien, Role: Tao Min Min
Jack Na, Role: Wang Bai Dan
Bernice Tsai, Role: He Mei / Mei Mei","Comedy
 Romance
 Youth
 Drama",8.7,13283,https://mydramalist.com//15091-our-times
Sunny (2011),South Korea,"Na Mi fondly recalls her childhood pal Chun Hwa, who befriended her as the ostracized, new girl in school, welcoming her into a clique nicknamed “Sunny.” Together, they survive tumultuous ’80s Seoul and vow to remain together forever.
Now a housewife with an ungrateful teenage daughter and trapped in a stale marriage to a wealthy but unaffectionate husband, Na Mi long ago lost touch with the six girls from whom she was once inseparable, torn apart by circumstance.
But one day while visiting her mother at the hospital she encounters Chun Hwa, who is now terminally ill. As the two renew their relationship and reminisce, Chun Hwa implores Na Mi to bring the scattered group together one last time.
Featuring an ’80s pop hits soundtrack, this heartwarming film will alternately make you laugh and cry as these long-lost friends discover they can still change one another’s lives.

",Lee Byung Hun,"Shim Eun Kyung, Role: Im Na Mi [Teen]
Kang So Ra, Role: Ha Chun Hwa [Teen]
Kim Min Young, Role: Kim Jang Mi [Teen]
Park Jin Joo, Role: Hwang Jin Hee [Teen]
Min Hyo Rin, Role: Young Su Ji [Teen]
Nam Bo Ra, Role: Seo Geum Ok [Teen]","Comedy
 Life
 Drama
 Melodrama",8.7,9990,https://mydramalist.com//1366-sunny-2011
Ode to My Father (2014),South Korea,"“Ode To My Father” is the story of Deok Su, a completely ordinary man, who in the face of tumultuous events, marshals the extraordinary courage to protect his family. Sticking together they survive some of modern history’s most significant events. As a child, Deok Su had to say goodbye to his father during a North Korean refugee evacuation amidst the Korean War. His last words to his father were a promise that he would always protect the family. As he matures, that vow leads him to the coal mines of 1960’s Germany, and even into the jungle of the Vietnam War. ‘Ode To My Father’ is a heartwarming tale of a regular man who musters superhuman resilience for the sake of his family, all set in the maelstrom of modern history as it crashed over Korea. With echoes of tumultuous events happening around the globe today, ‘Ode To My Father’ is a loving look at one family who manages to survive and even thrive.

",Park Soo Jin,"Hwang Jung Min, Role: Yoon Deok Su
Kim Yoon Jin, Role: Oh Young Ja
Oh Dal Soo, Role: Chin Dal Gu
Jung Jin Young, Role: Yoon Jin Goo [Deok Su's father]
Jang Young Nam, Role: Park Gil Ryo [Deok Su's mother]
Ra Mi Ran, Role: Yoon Kkeoch Bon [Deok Su's aunt]","Drama
 War",8.7,2640,https://mydramalist.com//9522-ode-to-my-father
Your Eyes Tell (2020),Japan,"Kaori lost her eyesight and family in an accident. While trying to enjoy the small things in her life, Kaori struggles to live happily. Kaori mistakes Rui for someone else and begins to talk to him. Rui was once a promising kickboxer, but something happened in his past to cause him to disassociate himself from everyone. Kaori's smile brings out a change in Rui. The two people begin to have feelings for each other, but Rui learns about Kaori's past accident and his connection. Rui decides to take part in an underground fight to pay for Kaori's eye surgery.

",Miki Takahiro,"Yokohama Ryusei, Role: Shinozaki Rui / Antonio
Yoshitaka Yuriko, Role: Mei Kaori
Yabe Kyosuke, Role: Harada Jin [Rui's coach]
Tayama Ryosei, Role: Ouchi [Chairman at Rui's boxing gym]
Machida Keita, Role: Sakuma Kyosuke [Rui's ex-boss]
Okuno Eita, Role: Kuji Mitsuru [Kyosuke's subordinate]","Romance
 Life
 Drama
 Melodrama",8.7,7010,https://mydramalist.com//46321-kimi-no-me-ga-toikakete-iru
Along With the Gods 2: The Last 49 Days (2018),South Korea,"Hae Won Maek, Gang Rim, and Duk Choon are about to take part in Soo Hong’s trial. However, to secure a trial, they are tasked with bringing the soul of an old man who is protected by House God within 49 days. Gang Rim accompanies Soo Hong, while Hae Won Maek and Duk Choon go down into the human world, where they discover that the House God knows of their forgotten previous lives.

",Kim Yong Hwa,"Ha Jung Woo, Role: Gang Rim 
Ju Ji Hoon, Role: Hae Won Maek
Kim Hyang Gi , Role: Duk Choon
Ma Dong Seok, Role: Sung Joo Shin
Kim Dong Wook, Role: Kim Soo Hong
Lee Jung Jae, Role: King Yum Ra [God of Death]","Action
 Drama
 Fantasy",8.7,10922,https://mydramalist.com//28305-along-with-the-gods-the-last-49-days
Hachiko Monogatari (1987),Japan,"A puppy was born in Akita Prefecture and sent as a gift to Professor Ueno of Tokyo University. Although professor's wife does not want keep the dog. Professor Ueno loves the puppy so much and names it Hachi. Professor goes to work by railways everyday. Hachi walks to Shibuya Station with Professor each morning and greets him in the evening, no matter what the weather is. One day, Professor Ueno has a stroke and passed away. His family sold the house and moved to another city, but Hachi keeps visiting the house and waiting at the Shibuya station, believing his master will return. Based on a true story of Hidesaburo Ueno and his Akita breed dog ""Hachiko."" Edit Translation English Русский Español Français",Shindo Kaneto,"Nakadai Tatsuya, Role: Ueno Shujiro
Yachigusa Kaoru, Role: Ueno Shizuko
Omi Toshinori, Role: Ogata Saikichi
Yanagiba Toshiro, Role: Moriyama
Ishino Mako, Role: Ueno Chizuko
Harukawa Masumi, Role: Okichi","Life
 Drama",8.8,2077,https://mydramalist.com//2491-hachiko-monogatari
Lighting Up the Stars (2022),China,"Having been released after serving his sentence, a funeral director accidentally crosses paths with a girl which brings about an unexpected change in his attitude towards life.

During a funeral, Mo San Mei saved orphan girl Wu Xiao Wen from almost being ""cremated."" Since then, Xiao Wen has been sticking to Mo San Mei like glue, thereby making things a little difficult for Mo San Mei, whose life is already riddled with problems. After some laughter and tears, the unexpected father and daughter pair have found something wonderful.

",Comedy,"Zhu Yi Long, Role: Mo San Mei
Yang En You, Role: Wu Xiao Wen
Wang Ge, Role: Wang Jian Ren
Liu Lu, Role: Yin Bai Xue
Li Chun Yuan, Role: Hai Fei
Janice Wu, Role: Xi Xi","Comedy
 Life
 Drama",8.7,1099,https://mydramalist.com//701933-funeral-family
Rurouni Kenshin: The Legend Ends (2014),Japan,"Shishio has set sail in his ironclad ship to bring down the Meiji government and return Japan to chaos, carrying Kaoru with him. In order to stop him in time, Kenshin trains with his old master to learn his final technique. 

~~ Adapted from the manga ""Rurouni Kenshin"" by Watsuki Nobuhiro. Edit Translation English Arabic Ελληνικά Polski",Otomo Keishi,"Satoh Takeru, Role: Himura Kenshin
Takei Emi, Role: Kamiya Kaoru
Fujiwara Tatsuya, Role: Shishio Makoto
Aoki Munetaka, Role: Sagara Sanosuke
Aoi Yu, Role: Takani Megumi
Eguchi Yosuke, Role: Saito Hajime","Action
 Adventure
 Historical
 Drama",8.8,8233,https://mydramalist.com//7436-rurouni-kenshin-the-legend-ends
A Taxi Driver (2017),South Korea,"A widowed taxi driver raises his young daughter alone and works hard to pay back the hospital bills left behind by his late wife. One day, he hears that a foreigner is willing to pay a large sum for a drive from Seoul to Gwangju City and back. Not knowing that the foreigner is a German journalist, he takes the job and sets off on a journey together.

",Jo Seul Ye,"Song Kang Ho, Role: Kim Man Sub
Thomas Kretschmann, Role: Peter
Yoo Hae Jin, Role: Hwang Tae Sool
Ryu Joon Yeol, Role: Goo Jae Shik
Park Hyuk Kwon, Role: Reporter Choi
Choi Gwi Hwa, Role: [Civvies Group Leader]","Action
 Drama
 Political",8.9,9178,https://mydramalist.com//17009-a-taxi-driver
The Man from Nowhere (2010),South Korea,"Cha Tae Shik leads a quiet life running a pawnshop. His only friend is a little girl, So Mi, who lives next door. So Mi's mother, Hyo Jeong, is a heroin addict. One day, Hyo Jeong decided to steals drugs from a feared organized crime group. Crime lord Oh Myung Gyu sent his subordinates, brothers Man Seok and Jong Seok to retrieve the drugs from Hyo Jeong. They then kidnap her and So Mi. Tae Shik sets off to rescue them. Edit Translation English Русский Deutsch Español",Lee Jung Beom,"Won Bin, Role: Cha Tae Shik
Kim Sae Ron, Role: Jung So Mi
Kim Hee Won, Role: Man Seok
Kim Tae Hoon, Role: Kim Chi Gon
Kim Sung Oh, Role: Jong Suk
Lee Jong Pil, Role: No Myung Soo","Action
 Thriller
 Crime
 Drama",8.8,15564,https://mydramalist.com//462-the-man-from-nowhere
Rurouni Kenshin: Kyoto Inferno (2014),Japan,"The ""Kyoto Version"" takes place several months after Kenshin joins the Kamiya Dojo. Shishio Makoto plans to conquer Japan by destroying the Meiji Government, starting with Kyoto. Feeling that his friends may be attacked, Kenshin goes to meet Shishio alone in order to defeat him. However, many of his friends, including a young Oniwabanshuu named Makimachi Misao, decide to help him in his fight.

~~ Adapted from the manga series ""Rurouni Kenshin"" by Watsuki Nobuhiro. Edit Translation English Arabic Ελληνικά Čeština",Otomo Keishi,"Satoh Takeru, Role: Himura Kenshin
Takei Emi, Role: Kamiya Kaoru
Fujiwara Tatsuya, Role: Shishio Makoto
Aoki Munetaka, Role: Sagara Sanosuke
Aoi Yu, Role: Takani Megumi
Eguchi Yosuke, Role: Saito Hajime","Action
 Adventure
 Historical
 Drama",8.7,9045,https://mydramalist.com//7435-rurouni-kenshin-kyoto-inferno
Monster (2023),Japan,"A large lake in a suburban town. A single mother who loves her son, a teacher who cares about her students, and innocence in its prime… Although it seemed like a typical fight amongst children, townsfolk and media become swept into an unfolding drama when conflicting statements are made.

Then, the children disappear…

",Koreeda Hirokazu,"Ando Sakura, Role: Mugino Saori
Nagayama Eita, Role: Hori Michitoshi
Kurokawa Souya, Role: Mugino Minato
Hiiragi Hinata, Role: Hoshikawa Yori
Takahata Mitsuki, Role: Suzumura Hirona
Kakuta Akihiro, Role: Shoda Fumiaki","Thriller
 Drama
 Family",8.9,1284,https://mydramalist.com//743747-kaibutsu
Hope (2013),South Korea,"On the way to school, a girl named So Won (which literally means ""desire"" or ""hope"" in Korean) is sexually assaulted by a drunk male stranger. As a result, she suffers from multiple internal injuries and must undergo major surgery, but her emotional wounds are equally difficult to heal. Their happy family fell apart, her parents Dong Hoon and Mi Hee have feelings of pain and anger. Since that day's trauma, So Won refuses to see or speak to her father, so Dong Hoon hides under the costume of his daughter's favorite cartoon character and becomes a ""guardian angel"" by her side.

~~ Inspired by the real events of the ""Cho Doo Soon"" case that happened in December 2008. Edit Translation English Русский Ελληνικά Español",Kim Ji Hye,"Sol Kyung Gu, Role: Im Dong Hoon
Uhm Ji Won, Role: Kim Mi Hee
Lee Re, Role: Im So Won
Kim Hae Sook, Role: Song Jung Sook
Kim  Sang Ho, Role: Han Kwang Shik [Dong Hoon's best friend]
Ra Mi Ran, Role: [Young Suk's mother and Kwang Shik's wife]","Psychological
 Life
 Drama",9.1,9422,https://mydramalist.com//7431-hope
Along With the Gods: The Two Worlds (2017),South Korea,"After a heroic death, Kim Ja Hong navigates the afterlife with the help of three guardians Kang Rim, Hae Won Maek, and Deok Choon. All deceased must meet the gods of hell and face trials of murder, indolence, deceit, injustice, betrayal, violence, and filial impiety over a period of 49 days. 

However, their plans of getting him through hell become even more challenging as a vengeful spirit exists and wreaks havoc on the real world. With the aid of his guardians and motivated by the idea of meeting his mother once more, Ja Hong and his guardians face obstacles and find reasons by journeying through his emotional past in order to clear him of any accusations and prove that he has lived a noble life.

",Kim Yong Hwa,"Ha Jung Woo, Role: Gang Rim 
Cha Tae Hyun, Role: Kim Ja Hong 
Ju Ji Hoon, Role: Hae Won Maek
Kim Hyang Gi , Role: Duk Choon
Kim Dong Wook, Role: Kim Soo Hong
Oh Dal Soo, Role: [Prosecutor]","Action
 Drama
 Fantasy",8.6,16027,https://mydramalist.com//16224-along-with-the-gods
