Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
My Country: The New Age (2019),2019,South Korea,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country.""
Seo Hwi is a warrior. His father Seo Geom is a famous commander. Seo Hwi does not compromise when it comes to injustice. His life devolves into a hellish existence, but he still holds a smile.
Nam Sun Ho is smart and a talented figure. Because his mother was born into the lowest class, Nam Sun Ho is looked down upon by other people. He wants to pass the military service examination. Due to a corruption scandal involving his father, Nam Sun Ho loses his dream. Making things worse, he comes into conflict with Seo Hwi over a misunderstanding.

",Chae Seung Dae,"Yang Se Jong, Role: Seo Hwi
Woo Do Hwan, Role: Nam Sun Ho
Kim Seol Hyun, Role: Han Hee Jae
Jang Hyuk, Role: Lee Bang Won
Kim Yeong Cheol, Role: Lee Sung Gye [Bang Won's father]
Ahn Nae Sang, Role: Nam Jeon [Seon Ho's father]","Action
 Historical
 Romance
 Drama",8.4,8581,https://mydramalist.com/31328-my-country
Oxygen (2020),2020,Thailand,"This series follows three couples and focuses on two primary characters. 

Orphaned at a very young age, Gui, a fourth-year engineering student, has always had to work hard to support himself. Despite the many difficulties, he has kept his soft demeanor and gentle smile as well as his empathy for others. Whenever someone struggles, he is always one of the first volunteers to help.

Solo, a freshman music student, has everything: money, fame, good looks. But he lacks a smile. After his mother’s early death, he lost his happiness. Nothing could fill this missing hole in him until one late rainy night he stumbles into a café for coffee. 

At that moment, their two worlds collide. For a cup of hot milk and a warm smile, Solo returns to the cafe every night. And Gui finds himself waiting for his late-night visitor. Night after night, the young men continue meeting at the same spot and at the same time. As they see each other more frequently and their lives overlap, the two become one another's breath…a necessity, just like Oxygen. 

",Pratchaya Thavornthummarut,"Nut Supanut Lourhaphanich, Role: Solo
Petch Chanapoom Thenwong, Role: Gui Jirayu
Boss Thanabat Ngamkamolchai, Role: Kao Ashira
Phu Phubeth Tharathonchanakul, Role: Phuri Drake
Natty Thanyanan Pipatchaisiri, Role: Khim
Kun Kunchanuj Kengkarnka, Role: Dr. Petch","Romance
 Youth
 Drama",7.3,11908,https://mydramalist.com/31915-oxygen-the-series
Lucky's First Love (2019),2019,China,"A story about first love and romances from the perspective of three couples in the workplace. It follows an independent young woman brimming with potential who crosses paths with a black-bellied boss. 

Because of the prosperous meaning behind her name, Xing Yun is recruited by Xia Ke to work at his gaming company. He is determined and headstrong, a son who refused to take over the family business and chose to make it on his own. In her journey from a sketch artist to a gaming designer, she experiences many extremes and jumps many hurdles in dealing with her black-bellied boss. Their continuous bickering brings them closer, and the girl who has never been in love before finds that the last hurdle is love.

",Comedy,"Bai Lu, Role: Xing Yun
Xing Zhao Lin, Role: Xia Ke
Chen Hao Lan, Role: Yao Qing
Zhai Zi Lu, Role: He Yu
Liu Ruo Yan, Role: Shen Qing
Huang Ji Dong, Role: Chu Nan","Comedy
 Romance
 Life
 Youth",8.1,11465,https://mydramalist.com/31239-the-world-owes-me-a-first-love
Her Private Life (2019),2019,South Korea,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life...

Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.

",Hong Jong Chan,"Park Min Young, Role: Sung Duk Mi
Kim Jae Wook, Role: Ryan Gold / Heo Yoon Jae
Ahn Bo Hyun, Role: Nam Eun Gi
One, Role: Cha Shi Ahn
Kim Bo Ra, Role: Cindy / Kim Hyo Jin
Park Jin Joo, Role: Lee Sun Joo","Business
 Comedy
 Romance
 Drama",8.3,60785,https://mydramalist.com/32293-her-private-life
Kingdom (2019),2019,South Korea,"No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.

Questioning the circumstances surrounding the King’s death, the Crown Prince and his guard, Moo Young, set forth to locate Lee Seung Hui, the last physician to treat his father. But the two end up stuck with Assistant Physician Seo Bi and a mysterious man named Young Shin in a village plagued with a terrifying disease.

",Kim Eun Hee,"Ju Ji Hoon, Role: Lee Chang
Ryu Seung Ryong, Role: Cho Hak Joo
Bae Doo Na, Role: Seo Bi
Kim Sung Gyu, Role: Young Shin
Kim Chan Yi, Role: [Dol Seok's father]
Kim  Sang Ho, Role: Moo Young [Royal guard]","Thriller
 Historical
 Horror
 Political",8.8,35545,https://mydramalist.com/22806-kingdom
Somebody (2022),2022,South Korea,"Sum is a developer for the social-connecting app ""Somebody."" Even though she has difficulty communicating with other people, she is friends with Mok Won and Ki Eun. Her friend Ki Eun works as a detective.

A murder takes place, and the app ""Somebody"" is involved in the murder case. Architectural designer Yoon O appears in front of Sum and her friends. Yoon O is an attractive man, but he seems to be hiding something. Meanwhile, Ki Eun investigates the murder case with the help of Mok Won.

",Han Ji Wan,"Kim Young Kwang, Role: Seong Yun O
Kang Hae Lim, Role: Kim Sum
Kim Yong Ji, Role: Im Mok Won
Kim Su Yeon, Role: Yeong Gi Eun
Choi Yoo Ha, Role: Samantha Jung
Chu Seon Woo, Role: Jang Ha Na","Thriller
 Mystery
 Psychological
 Mature",6.9,7516,https://mydramalist.com/79525-finger
The Uncanny Counter Season 2: Counter Punch (2023),2023,South Korea,"Evil spirits from the afterlife arrive on Earth in search of an immortal existence. The story follows a group of counters who are tasked with catching these malevolent entities. 

",Kim Sae Bom,"Cho Byeong Kyu, Role: So Moon
Yoo  Joon Sang, Role: Ga Mo Tak
Kim Se Jeong, Role: Do Ha Na
Yeom Hye Ran, Role: Chu Mae Ok
Ahn Suk Hwan, Role: Choi Jang Mool
Yoo In Soo, Role: Na Jeok Bong","Action
 Mystery
 Comedy
 Supernatural",8.3,13135,https://mydramalist.com/684221-the-uncanny-counter-2
Dream Knight (2015),2015,South Korea,"A young girl named Joo In Hyung, suffering from her past experiences until a group of mysterious men suddenly enter her life. The fantasy romance drama touches on dreams, love, and friendship. ",Park Byung Hwan,"Song  Ha Yoon, Role: Joo In Hyung
Jay B, Role: JB
Park Jin Young, Role: Jinyoung
Mark Tuan, Role: Mark
Jackson Wang, Role: Jackson
BamBam, Role: BamBam","Romance
 Drama
 Fantasy",7.3,10436,https://mydramalist.com/12591-dream-knight
Yamato Nadeshiko Shichi Henge (2010),2010,Japan,"Blessed with good looks, Takano Kyohei, a college student, is always suffering from the unreasonable behavior of customers who want him and the sexual harassment of his store manager. Because of his hot temper, he loses his head on this occasion and is fired from his part-time job.

Then, one day, the glamorous owner, Ms. Nakahara, proposes, ""I'll give you free board-and-lodging if you can turn my niece, Sunako, into a lady!"" Kyohei and Toyama Yukinojo, Oda Takenaga and Morii Ranmaru, the other guys living together in the same boarding house, are enthusiastic, but the person who appears before the four of them is a spooky girl whose hair covers her face and who loves horror and vampires. And so, their tumultuous communal life begins.

",Shinozaki Eriko,"Kamenashi Kazuya, Role: Takano Kyohei
Tegoshi Yuya, Role: Yukinojo Toyama
Omasa Aya, Role: Nakahara Sunako
Uchi Hiroki, Role: Oda Takenaga
Miyao Shuntaro, Role: Morii Ranmaru
Kato Seishiro, Role: Nakahara Takeru","Comedy
 Romance
 Life
 Supernatural",7.7,14009,https://mydramalist.com/18-yamato-nadeshiko-shichi-henge
Senior Secret Love: Puppy Honey 2 (2017),2017,Thailand,"Porsche has moved away to pursue an internship, leaving Emma behind. Causing stress on them and their relationship. Porsche meets Friend, a happy and bright girl and Emma meets Night, her brother's friend from high school. Pik is still confused over his sexuality and feelings for Rome. However, Din, an ex-member of Porsche's cat and dog club is becoming extremely close to Rome. Pik insists he doesn't have feelings for Rome, but he feels jealous when Rome is with Din. Will Pik accept himself for who he his? Will Porsche's and Emma's relationship stay strong?

",Champ Weerachit Thongjila,"Kang Korn Sirisorn, Role: Porsche
Cherreen Nachjaree Horvejkul, Role: Emma
Off Jumpol Adulkittiporn, Role: Pick
Gun Atthaphan Phunsawat, Role: ""Rome"" Thanapat Pornprom
Krist Perawat Sangpotirat, Role: Night
Namtan Tipnaree Weerawatnodom, Role: Friend","Comedy
 Romance
 Youth",7.1,7976,https://mydramalist.com/22703-senior-secret-love-puppy-honey-2
When I Fly Towards You (2023),2023,China,"In the early autumn of 2012, Yucai Middle School welcomes a cheerful transfer student named Su Zai Zai. On the first day of school, Su Zai Zai encounters the aloof and cool Zhang Lu Rang and falls in love with him at first sight. 

Behind Zhang Lu Rang's seemingly outstanding academic performance and privileged family background, he is a ""contradictory"" person who appears to be quite confident on the outside yet constantly doubts himself on the inside. Due to the presence of his genius younger brother, Zhang Lu Li, Zhang Lu Rang is constantly compared to him by his mother. For over a decade, Zhang Lu Rang's life has been like living inside a thick shell. He is introverted and speaks little. He looks composed and polite but keeps everyone at a distance.

However, Zhang Lu Rang's life changes when he meets the bubbly and forward Su Zai Zai, and joins hands with old and new friends Gu ran,  Guan Fang, and Su Zai Zai's best friend Jiang Jia. They help him understand the meaning of self and he slowly begins to understand how to plan his life. Zhang Lu Rang and Su Zai Zai work towards their goals while supporting one another, as romance begins to blossom throughout their friend group. 

",Yue An,"Zhou Yi Ran, Role: Zhang Lu Rang
Zhang Miao Yi, Role: Su Zai Zai
Bian Tian Yang, Role: Gu Ran
Jiang Zhi Nan, Role: Jiang Jia
Guo Zhe, Role: Guan Fang
Roy Xie, Role: Xie Lin Nan","Comedy
 Romance
 Youth",9.0,17450,https://mydramalist.com/62295-luo-yao-knew-what-he-meant
Fireworks of My Heart (2023),2023,China,"Growing up, Song Yan and Xu Qin were the best of friends. But as they grew older, their families began to see their friendship in an unfavorable light. Unwilling to allow their relationship to go any farther, Song Yan and Xu Qin were forced apart by their families, never to see each other again.

In the ten years since their forced separation, both Song Yan and Xu Qin have worked hard to build the life they’ve always wanted. As fire chief, Song Yan has dedicated his life to saving others. Oddly enough, Xu Qin has also made it her life’s work to save others as an emergency doctor. Though working in entirely different fields, it was only a matter of time before fate stepped in to reunite the former friends. Brought together by their work, Song Yan and Xu Qin aren't exactly thrilled to be reunited once again. 

Working side-by-side, it’s easy to recognize the growth each has made over the years, but there’s still so much Xu Qin and Song Yan to work through if they’re going to turn this new relationship of theirs into something more. Do they have what it takes to overcome the obstacles before them or is their current relationship destined to be as fleeting as the last?

",Xu Su,"Yang Yang, Role: Song Yan
Wang Chu Ran, Role: Xu Qin / Meng Qin
Wang Yan Lin, Role: Jiang Yu
Wei Da Xun, Role: Meng Yan Chen [Xu Qin's foster elder brother]
Meng A Sai, Role: Yang Chi [Firefighter]
Yang Tong, Role: Jiang Yi [Firefighter]","Action
 Romance
 Medical",8.2,8535,https://mydramalist.com/713795-wo-de-ren-jian-yan-hou
W (2016),2016,South Korea,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Joo later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.

",Song Jae Jung,"Han Hyo Joo, Role: Oh Yeon Joo
Lee Jong Suk, Role: Kang Chul
Kim Eui Sung, Role: Oh Sung Moo [Artist / Yeon Joo's father]
Lee Tae Hwan, Role: Seo Do Yoon [Kang Chul's bodyguard]
Jung Eugene, Role: Yoon Soo Hee [Kang Chul's secretary]
Lee Si Eon, Role: Park Soo Bong [Sung Moo's subordinate]","Thriller
 Comedy
 Romance
 Fantasy",8.5,94727,https://mydramalist.com/16589-w
The King's Affection (2021),2021,South Korea,"The story is set during the Joseon Dynasty, at a time when twins were considered an ominous sign. As a result, when the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.

A few years later, the twin daughter Dam Yi returns to the palace to work as a maid. When the male twin, Lee Hwi, loses his life through a case of mistaken identity, their mother, having recognised her daughter as court maid Dam Yi, persuades her to take Lee Hwi's place. Although she distances herself from everybody, Dam Yi starts developing feelings for Jung Ji Woon, her original first love and later teacher who comes from a noble family.

",Han Hee Jung,"Park Eun Bin, Role: Lee Hwi / Dam Yi
Rowoon, Role: Jung Ji Woon
Nam Yoon Su, Role: Lee Hyun
Choi Byung Chan, Role: Kim Ga On
Bae Yoon Kyung, Role: Shin So Eun
Jung Chae Yeon, Role: Noh Ha Kyung","Historical
 Romance
 Drama",8.3,22530,https://mydramalist.com/683673-affection
Modern Farmer (2014),2014,South Korea,"A comedy drama about a rock band that takes up farming as an escape route. 
Lee Min Ki is a genius rocker, as well as leader, vocalist, and guitarist of a rock band called Ex-So (Excellent Souls), that he founded together with drummer Han Ki Joon. The cynical Kang Hyeok is the keyboardist of the band, but also a medical school student who is from a family of doctors for many generations. The two will be involved in a love triangle with the lead female. Meanwhile, Yoo Han Cheol is the bass guitarist. ",Oh Jin Suk,"Lee Hong Ki, Role: Lee Min Ki
Lee Ha Nee, Role: Kang Yoon Hee
Park Min Woo, Role: Kang Hyuk
Kwak Dong Yeon, Role: Han Ki Joon
Lee Si Eon, Role: Yoo Han Chul
Han Bo Reum, Role: Han Yoo Na","Comedy
 Romance
 Drama",7.7,5658,https://mydramalist.com/10620-modern-farmer
The Princess's Man (2011),2011,South Korea,"Princess Se Ryung is the headstrong and forward-thinking daughter of  Grand Prince Su Yang, who is determined to be King. She falls in love with the son of his mortal enemy, and their romance gets caught in the crossfire of her father's quest for the throne. ",Jo Jung Joo,"Park Shi Hoo, Role: Kim Seung Yoo
Moon Chae Won, Role: Lee Se Ryung
Kim Yeong Cheol, Role: Prince Su Yang
Song Jong Ho, Role: Shin Myeon
Hong Soo Hyun, Role: Princess Kyung Hye
Lee Min Woo, Role: Jeong Jong","Action
 Historical
 Romance
 Political",8.4,8673,https://mydramalist.com/2591-the-princess-man
The Crowned Clown (2019),2019,South Korea,"Joseon is in a state of disorder due to uprisings and a power struggle surrounding King Lee Hun. To avoid assassination, a clown named Ha Sun is brought to the palace to take the place of King Lee Hun. Ha Sun looks almost identical to King Lee Hun.

When Ha Sun was a child, his parents died during an epidemic. Ha Sun almost died from starvation around that time, but he was saved by a group of clowns. Ha Sun grew up with the clowns and became one of them. During their performance, Ha Sun would play King Lee Hun due to their similar physical appearance. Now, Ha Sun is nervous that someone in the palace will find out he is not the real king. He falls for beautiful Queen Yoo So Woon.

",Shin Ha Eun,"Yeo Jin Goo, Role: Clown Ha Seon | King Yi Heon
Lee Se Young, Role: Queen Yoo So Woon
Kim Sang Kyung, Role: Lee Gyu
Jang Gwang, Role: Eunuch Jo [King's aide]
Yoon Jong Seok, Role: Jang Moo Young [Royal Officer]
Yoon Gyung Ho, Role: Gap Soo [Ha Sun's friend]","Historical
 Romance
 Melodrama
 Political",8.4,10646,https://mydramalist.com/30468-masquerade
The Beauty Inside (2018),2018,South Korea,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different body and new identity for one week a month. She encounters Seo Do Jae, a brilliant man who is an executive at an airline company. He seems to have it all: a perfect appearance, knowledge, and a good job; but he has a secret too. He suffers from Prosopagnosia, the inability to recognize faces. However, he manages to hide this from the world, every day he makes an effort to remember people by their personalities. 

Seo Do Jae's life begins to change when he meets Han Se Gye. She is the only person whose face he can recognize. But with Han Se Gye's constant disappearance and change, how long can she keep her secret?

",Song Hyun Wook,"Seo Hyun Jin, Role: Han Se Gye
Lee Min Ki, Role: Seo Do Jae
Lee Da Hee, Role: Kang Sa Ra
Ahn Jae Hyun, Role: Ryu Eun Ho
Lee Tae Ri, Role: Jung Joo Hwan [Do Jae's secretary] 
Moon Ji In, Role: Yoo Woo Mi [Se Gye's best friend / manager]","Comedy
 Romance
 Melodrama
 Supernatural",8.3,35483,https://mydramalist.com/26295-the-beauty-inside
Revenge of Others (2022),2022,South Korea,"A boy falls to his death at school, but Ok Chan Mi does not believe that her twin brother, Park Won Seok, committed suicide. She then transfers to her brother's school, Yongtan High, and meets Ji Soo Heon, who witnessed her brother's death. During that time a ""hero,"" who avenges bullied students, appears at Yongtan High. Chan Mi speculates that it may be connected to her brother and starts looking for this hero.

",Kim Yoo Jin,"Shin Ye Eun, Role: Ok Chan Mi
Lomon, Role: Ji Soo Heon
Seo Ji Hoon, Role: Seok Jae Beom
Chae Sang Woo, Role: Gi Oh Sung
Lee Soo Min, Role: Kook Ji Hyun
Jung Soo Bin, Role: Tae So Yeon","Action
 Thriller
 Mystery
 Drama",8.5,17635,https://mydramalist.com/716231-third-person-revenge
Till the End of the Moon (2023),2023,China,"In an era when demons have dominion over cultivators and mortals, the cultivator elders believe it is imperative to send someone back in time to discover the origin of the demon lord and prevent his resurrection.

Li Su Su accepts the mission and assumes the identity of mortal Ye Xi Wu, the second daughter of General Ye. She's married to Tantai Jin, the captive prince and future demon lord, and is determined to destroy him, aware that in the future he will come to massacre many.  But as witness to Tantai Jin's past life and rise to power, an unexpected tale emerges, one complicating her quest. 

",He Fang,"Luo Yun Xi, Role: Tantai Jin | Cang Jiu Min | Ming Ye
Bai Lu, Role: Li Su Su | Ye Xi Wu | Sang Jiu
Chen Du Ling, Role: Ye Bing Chang | Mo Nv | Tian Huan
Deng Wei, Role: Xiao Lin | Gongye Ji Wu | Sang You
Sun Zhen Ni, Role: Pian Ran
Eddy Geng, Role: Ye Qing Yu","Romance
 Wuxia
 Fantasy",8.6,12654,https://mydramalist.com/693513-hei-yue-guang-wen-na-be-ju-ben
Misaeng: Incomplete Life (2014),2014,South Korea,"Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s recommendation for him to a large company called One International.

On his first day of work, Geu Rae meets an eager fellow intern, An Yeong Yi, as they both try to please their new boss, Section Chief Oh Sang Shik and keep up with the ambitious employee, Jang Baek Ki. But they quickly find that their department is a little different from the others.

Geu Rae does his best at his new job while trying not to lose his humanity along the way.

~~ Adapted from the webtoon series ""Misaeng: Incomplete Life"" (미생 - 아직 살아 있지 못한 자) by Yoon Tae Ho (윤태호). ",Kim Won Suk,"Yim Si Wan, Role: Jang Geu Rae
Lee Sung Min, Role: Oh Sang Shik
Kang So Ra, Role: Ahn Young Yi
Kang Ha Neul, Role: Jang Baek Ki
Kim Dae Myung, Role: Kim Dong Shik
Byun Yo Han, Role: Han Suk Yool","Business
 Life
 Drama",8.7,12531,https://mydramalist.com/10619-incomplete-life
Prime Minister and I (2013),2013,South Korea,"Prime Minister Kwon Yool works well at his office, but he struggles to raise his three children alone. Nam Da Jung is a reporter full of enthusiasm at work, but she always ends up missing big scoops. When Nam Da Jung chases Prime Minister Kwon for a lucrative exposé, she ends up scooping a whole lot more than she bargained for. Kwon Yool's three kids receive a mother as a Christmas present, and that mother is Nam Da Jung. ",Lee So Yeon,"Im Yoon Ah, Role: Nam Da Jung
Lee Bum Soo, Role: Kwon Yul
Yoon Shi Yoon, Role: Kang In Ho
Chae Jung An, Role: Seo Hye Joo
Ryu Jin, Role: Park Joon Ki
Yoon Hae Young, Role: Na Yun Hee [Joon Gi's wife]","Comedy
 Romance
 Drama",7.3,9388,https://mydramalist.com/8129-prime-minister-and-i
Duty After School: Part 1 (2023),2023,South Korea,"Sungjin High School is thrust into chaos as an alien invasion begins, unleashing violent insect-like creatures worldwide. With the South Korean military overwhelmed, mandatory conscription is imposed on all third-year high schoolers, forcing them to undergo military training while facing impending university exams. Platoon leader Lee Chun Ho guides them through rifle shooting, combat, and obstacle courses, all in their school uniforms. Class teacher Park Eun Young strives to protect her students. Can these high schoolers become saviors in the face of global doom?

",Lee Nam Gyu,"Shin Hyun Soo, Role: Lee Chun Ho
Lee Soon Won, Role: Kim Won Bin
Kim Ki Hae, Role: Kim Chi Yeol
Choi Moon Hee, Role: Lee Na Ra
Kim Su Gyeom, Role: Kwon Il Ha
Lee Yeon, Role: No Ae Seol","Action
 Thriller
 Drama
 Sci-Fi",8.5,11356,https://mydramalist.com/700087-after-school-war-activities
Triage (2022),2022,Thailand,"Third-year emergency medicine resident Tin has to cope with a deluge of different patients every day. Up until the eighteenth, that is. Tin's life is transformed when university student Tol's car is overturned, and he's rushed to the emergency room in serious condition. That night doesn't end when Tin fails to save Tol's life, though. When Tin next wakes, he finds himself in a time loop, a loop he won't be able to leave until he's altered Tol's fate. 

",Ma-Deaw Chookiat Sakveerakul,"Tae Darvid Kreepolrerk, Role: Dr. Tin
Tee Thanapon Jarujitranon, Role: Tol
Tonnam Piamchon Damrongsunthornchai, Role: Dr. Singharat / ""Sing""
Aob Tanadol Wongsaardsakul, Role: Dr. Gap
Aom Punyawee Jungcharoen, Role: Mai
Fortune Pundita Koontawee, Role: Dr. Fukfang / ""Fang""","Thriller
 Romance
 Medical
 Fantasy",8.3,9090,https://mydramalist.com/725347-triage
He Is Psychometric (2019),2019,South Korea,"After losing his parents in a fire, Lee Ahn acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to take bad people down. While he does not know how to control his power yet, he meets Yoon Jae In who tries her best to hide her painful secrets. Together with his foster guardian, prosecutor Kang Seong Mo, and the latter's colleague, investigator Eun Ji Soo, they team up to solve an elusive case that has been haunting the lives of Ahn, Sung Mo, and Jae In. The case revolves around the life of prosecutor Kang's mother and father, who were the main cause of the fire. Jae In and Lee Ahn heal each other through their past present and future and find the culprit.

",Yang Jin Ah,"Park Jin Young, Role: Lee Ahn
Shin Ye Eun, Role: Yoon Jae In
Kim Kwon, Role: Kang Sung Mo
Kim Da Som, Role: Eun Ji Soo
Noh Jong Hyun, Role: Lee Dae Bong [Lee Ahn's best friend]
Go Youn Jung, Role: Kim So Hyun [Jae In's friend]","Thriller
 Mystery
 Romance
 Supernatural",8.3,35607,https://mydramalist.com/31342-psychometric-fellow
The Smile Has Left Your Eyes (2018),2018,South Korea,"A TV series centered around the unfolding relationship between free and unpredictable yet dangerous Kim Moo Young, who is called a ""monster"". He is the first assistant in a Korean beer brewery who becomes a suspect when a woman's suicide turns out to be murder. His life begins to change when he meets a kind, warm advertising designer named Yoo Jin Kang, who wishes to be Moo Young's safe haven. She bears as many emotional scars as him. Yoo Jin Kang also has a brother, a homicide detective named Yoo Jin Gook, with 27 years of job experience. He strives to ""reveal"" who Moo Young really is and attempts to keep his sister, Jin Kang, away from Moo Young, with whom she begins to know. 

",Yoo Je Won,"Seo In Guk, Role: Kim Moo Young
Jung So Min, Role: Yoo Jin Kang
Park Sung Woong, Role: Yoo Jin Gook
Seo Eun Soo, Role: Baek Seung Ah [Jin Kang friend]
Go Min Si, Role: Im Yoo Ri [Moo Young's friend]
Jang Young Nam, Role: Tak So Jung [Police officer]","Thriller
 Mystery
 Romance
 Drama",8.2,20993,https://mydramalist.com/23520-hundred-million-stars-from-the-sky
Kuzu no Honkai (2017),2017,Japan,"Seventeen-year-old Mugi Awaya and Hanabi Yasuraoka appear to be the ideal couple. They are both pretty popular, and they seem to suit each other well. However, outsiders don't know of the secret they share. Both Mugi and Hanabi have hopeless crushes on someone else, and they are only dating each other to soothe their loneliness. Mugi is in love with Akane Minagawa, a young teacher who used to be his home tutor. Hanabi is also in love with a teacher, a young man who has been a family friend since she was little. In each other, they find a place where they can grieve for the ones they cannot have, and they share physical intimacy driven by loneliness. Will things stay like this for them forever?

~~ Adapted from the manga ""Scum's Wish"" (クズの本懐) by Yokoyari Mengo (横槍メンゴ). ",Psychological,"Yoshimoto Miyu, Role: Yasuroka Hanabi
Sakurada Dori, Role: Awaya Mugi
Aizawa Rina, Role: Minagawa Akane
Mizuta Kouki, Role: Narumi Kanai
Ikegami Sarii, Role: Sanae Ebato 
Shiho, Role: Kamomebata Moka","Psychological
 Romance
 Life
 Drama",7.0,6232,https://mydramalist.com/21857-kuzu-no-honkai
Yumi's Cells (2021),2021,South Korea,"Controlled by a complex network of cells, each and every human on the planet is kept running by an unseen operating system that is, for the most part, completely ignored. Though humans never give much thought to how they manage to function, day in and day out, the cells within the human body are constantly at work, doing their part to keep their humans alive and well. This is why on the outside, Kim Yoo Mi may appear to be just like every other single working woman in the world, but underneath that ordinary exterior lies something truly extraordinary. 

Having recently suffered a painful breakup, Yoo Mi’s love cells have fallen into a deep coma. While the surrounding cells work hard to revive their fallen compatriots, Yoo Mi spends her days stuck in the grind of everyday life. With a heart still broken and no romantic prospects, Yoo Mi’s love cells might have been in serious trouble had it not been for the sudden appearance of Goo Woong. An emotionally stunted game developer, Goo Woong has no idea how to express his true feelings, but after meeting Yoo Mi, he finds himself wanting to try. With his own love cells unexpectedly sparking Yoo Mi’s back to life, things between the two start to get interesting.  With both Yoo Mi and Goo Woong’s cells working overtime, the two find themselves drawing ever closer. But will the efforts of this small collection of cells really be enough to bring two hearts together forever?

",Song Jae Jung,"Kim Go Eun, Role: Kim Yu Mi
Ahn Bo Hyun, Role: Ku Woong
Park Ji Hyun, Role: Seo Sae Yi [SLW Studio]
Joo Jong Hyuk, Role: Louis [SLW Studio game developer]
Lee Yoo Bi, Role: Ruby [Yu Mi's co-worker]
Park Jin Young, Role: Yoo Ba Bi / ""Bobby""","Psychological
 Comedy
 Romance
 Drama",8.4,18910,https://mydramalist.com/60627-yumi-s-cell
When the Weather Is Fine (2020),2020,South Korea,"A story about forgiveness, healing, and love taking place around a small bookstore in the countryside.

Hae Won is an ordinary woman with good character. She has played the cello since she was a child. Hae Won began her social life with her ability to play the cello, but during that time, she was hurt emotionally by others. Due to that, Hae Won does not trust people, and she has closed her heart to others. Hae Won becomes sick and tired of her life in Seoul and decides to move back to her hometown Bookhyun Village. There, Hae Won meets Eun Seob, who runs a bookshop named ""Goodnight Bookstore."" Eun Seob's daily life is simple; wake up, drink coffee, read a book, and write on his blog. However, Eun Seob's daily life begins to change after he meets Hae Won.

",Han Ga Ram,"Park Min Young, Role: Mok Hae Won
Seo Kang Joon, Role: Im Eun Seob
Lee Jae Wook, Role: Lee Jang Woo [Eun Seob's friend]
Kim Hwan Hee, Role: Im Hwi [Eun Seob's sister]
Moon Jung Hee, Role: Shim Myung Yeo [Hae Won's aunt]
Im Se Mi, Role: Kim Bo Young [Hae Won's former friend]","Romance
 Life
 Drama
 Melodrama",8.2,18671,https://mydramalist.com/39601-i-ll-go-to-you-when-the-weather-is-nice
Inspector Koo (2021),2021,South Korea,"A hard-boiled investigative comedy drama that centers around the insurance investigator Koo Kyung Yi who investigates a murder case. Koo Kyung Yi, an intelligent woman who solves cold cases for the thrill of cracking the case rather than bringing justice to the world. By hook or by crook, she ferociously chases the truth behind every case. A college student who is a serial killer plots an accidental murder case to defraud her insurance money.

",Sung Cho Yi,"Lee Young Ae, Role: Koo Kyung Yi
Kim Hye Joon, Role: Song Yi Kyung
Kim Hae Sook, Role: Chief Yong Sook
Kwak Sun Young, Role: Na Je Hee
Baek Sung Chul, Role: Santa
Jo Hyun Chul, Role: Oh Kyung Soo","Action
 Thriller
 Mystery
 Comedy",8.2,5804,https://mydramalist.com/686409-a-wonderful-sight
